  554	
  839	  519	  163	   32	  516	  804	  949	  125	  988	  818	
  205	  706	  332	  476	  417	   60	  241	  877	  582	  562	
  112	  835	  869	  269	  113	  362	   75	  107	  854	  451	
  855	  571	  227	  659	  230	  292	  435	   71	  556	  637	
  238	  944	  697	  537	  936	  936	  860	   61	  703	  132	
  216	  877	  458	  253	  181	  621	  553	  290	  981	  390	
  255	  528	  891	  987	  137	  383	  420	  333	  230	  731	
  491	  436	   15	  425	  613	  628	  131	  536	  914	  346	
  945	  414	  876	  615	    7	   85	  573	  499	  754	  612	
  243	  240	  731	   15	   36	  497	   41	   57	  877	
